Language, Model, Accuracy, Time
hr, w, 0.83321213722229, 0.48199462890625
hr, c, 0.9316363334655762, 2.1582834720611572
hr, c+b, 0.9386666417121887, 4.022611379623413
hr, w+c, 0.9355151653289795, 2.322775363922119
hr, w+c_p, 0.9270303249359131, 2.304671287536621
hr, w+c_p_f, 0.9161211848258972, 2.3944199085235596
id, w, 0.8451613187789917, 1.2043416500091553
id, c, 0.8811545372009277, 6.3430328369140625
id, c+b, 0.884465217590332, 11.37457799911499
id, w+c, 0.8864176869392395, 6.62263298034668
id, w+c_p, 0.887606143951416, 6.599225044250488
id, w+c_p_f, 0.9016978144645691, 6.5694899559021
it, w, 0.9120708703994751, 1.1331727504730225
it, c, 0.9498721957206726, 5.528899669647217
it, c+b, 0.9491417407989502, 10.436881065368652
it, w+c, 0.9489591121673584, 5.897127151489258
it, w+c_p, 0.9558072090148926, 5.9612135887146
it, w+c_p_f, 0.9485026001930237, 5.934369325637817
nl, w, 0.7758281230926514, 0.6449165344238281
nl, c, 0.8950760960578918, 3.0826492309570312
nl, c+b, 0.8995523452758789, 5.5896079540252686
nl, w+c, 0.9025962352752686, 3.248873472213745
nl, w+c_p, 0.898478090763092, 3.249814033508301
nl, w+c_p_f, 0.9029543399810791, 3.2795639038085938
no, w, 0.8888925313949585, 3.3369369506835938
no, c, 0.9376040101051331, 15.628649473190308
no, c+b, 0.9377704858779907, 28.711572647094727
no, w+c, 0.9383032321929932, 16.61704111099243
no, w+c_p, 0.9432309865951538, 16.76731824874878
no, w+c_p_f, 0.9388026595115662, 16.69986319541931
pl, w, 0.8641614317893982, 1.0189557075500488
pl, c, 0.9575504064559937, 3.932995080947876
pl, c+b, 0.9551844000816345, 7.162049293518066
pl, w+c, 0.9519832730293274, 4.2015533447265625
pl, w+c_p, 0.9526791572570801, 4.183556079864502
pl, w+c_p_f, 0.9472512006759644, 4.352636098861694
pt, w, 0.8967104554176331, 0.7243266105651855
pt, c, 0.9532981514930725, 3.0483858585357666
pt, c+b, 0.9519345760345459, 5.532007455825806
pt, w+c, 0.953639030456543, 3.192699909210205
pt, w+c_p, 0.9550026059150696, 3.2068018913269043
pt, w+c_p_f, 0.9570479393005371, 3.236910104751587
sl, w, 0.8429211378097534, 1.5307912826538086
sl, c, 0.9475929737091064, 7.385534048080444
sl, c+b, 0.9530683159828186, 13.357136726379395
sl, w+c, 0.9552015662193298, 7.776355743408203
sl, w+c_p, 0.9382777214050293, 7.763538599014282
sl, w+c_p_f, 0.945175290107727, 7.848602056503296
sv, w, 0.8996908068656921, 2.226982831954956
sv, c, 0.9490602016448975, 10.77455997467041
sv, c+b, 0.9505815505981445, 19.857144117355347
sv, w+c, 0.9505815505981445, 11.50181794166565
sv, w+c_p, 0.9556853175163269, 11.524754762649536
sv, w+c_p_f, 0.9478824138641357, 11.54443097114563
